	Chr	Pos	-log10(pValue)
rs13539	17	418	0.807
rs13540	17	419	0.059
rs13541	17	420	0.242
rs13542	17	421	0.028
rs13543	17	422	0.189
rs13544	17	423	0.15
rs13545	17	424	0.383
rs13546	17	425	0.145
rs13547	17	426	0.679
rs13548	17	427	0.237
rs13549	17	428	0.233
rs13550	17	429	0.636
rs13551	17	430	0.72
rs13552	17	431	0.388
rs13553	17	432	0.045
rs13554	17	433	0.245
rs13555	17	434	0.023
rs13556	17	435	0.374
rs13557	17	436	0.243
rs13558	17	437	0.581
rs13559	17	438	1.211
rs13560	17	439	0.424
rs13561	17	440	0.079
rs13562	17	441	2.227
rs13563	17	442	0.72
rs13564	17	443	0.37
rs13565	17	444	0.072
rs13566	17	445	1.201
rs13567	17	446	0.019
rs13568	17	447	0.934
rs13569	17	448	0.2
rs13570	17	449	0.111
rs13571	17	450	0.14
rs13572	17	451	0.671
rs13573	17	452	0.319
rs13574	17	453	1.131
rs13575	17	454	0.507
rs13576	17	455	0.79
rs13577	17	456	0.725
rs13578	17	457	0.049
rs13579	17	458	0.343
rs13580	17	459	0.393
rs13581	17	460	0.037
rs13582	17	461	0.1
rs13583	17	462	0.12
rs13584	17	463	2.285
rs13585	17	464	0.377
rs13586	17	465	0.251
rs13587	17	466	0.821
rs13588	17	467	2.001
rs13589	17	468	0.429
rs13590	17	469	0.204
rs13591	17	470	0.718
rs13592	17	471	0.304
rs13593	17	472	0.121
rs13594	17	473	1.769
rs13595	17	474	1.044
rs13596	17	475	0.026
rs13597	17	476	0.246
rs13598	17	477	0.482
rs13599	17	478	0.058
rs13600	17	479	1.023
rs13601	17	480	0.145
rs13602	17	481	0.159
rs13603	17	482	0.402
rs13604	17	483	0.943
rs13605	17	484	0.07
rs13606	17	485	0.141
rs13607	17	486	0.007
rs13608	17	487	0.11
rs13609	17	488	0.303
rs13610	17	489	0.098
rs13611	17	490	0.706
rs13612	17	491	0.105
rs13613	17	492	0.442
rs13614	17	493	0.521
rs13615	17	494	0.058
rs13616	17	495	0.824
rs13617	17	496	0.022
rs13618	17	497	0.415
rs13619	17	498	0.398
rs13620	17	499	1.096
rs13621	17	500	0.457
rs13622	17	501	0.393
rs13623	17	502	0.444
rs13624	17	503	1.109
rs13625	17	504	1.057
rs13626	17	505	0.102
rs13627	17	506	0.219
rs13628	17	507	0.313
rs13629	17	508	0.104
rs13630	17	509	0.569
rs13631	17	510	0.329
rs13632	17	511	0.279
rs13633	17	512	0.059
rs13634	17	513	0.041
rs13635	17	514	0.176
rs13636	17	515	0.807
rs13637	17	516	0.196
rs13638	17	517	0.436
rs13639	17	518	0.128
rs13640	17	519	2.01
rs13641	17	520	0.189
rs13642	17	521	0.208
rs13643	17	522	0.627
rs13644	17	523	0.09
rs13645	17	524	0.027
rs13646	17	525	0.102
rs13647	17	526	0.643
rs13648	17	527	0.328
rs13649	17	528	1.078
rs13650	17	529	0.339
rs13651	17	530	0.526
rs13652	17	531	0.789
rs13653	17	532	0.237
rs13654	17	533	0.416
rs13655	17	534	0.827
rs13656	17	535	0.116
rs13657	17	536	0.067
rs13658	17	537	2.091
rs13659	17	538	0.232
rs13660	17	539	0.096
rs13661	17	540	0.835
rs13662	17	541	0.923
rs13663	17	542	0.011
rs13664	17	543	0.006
rs13665	17	544	0.294
rs13666	17	545	0.727
rs13667	17	546	0.918
rs13668	17	547	0.233
rs13669	17	548	0.251
rs13670	17	549	0.214
rs13671	17	550	0.013
rs13672	17	551	0.032
rs13673	17	552	0.693
rs13674	17	553	1.749
rs13675	17	554	1.155
rs13676	17	555	0.513
rs13677	17	556	0.526
rs13678	17	557	1.725
rs13679	17	558	0.176
rs13680	17	559	0.097
rs13681	17	560	0.417
rs13682	17	561	0.361
rs13683	17	562	0.186
rs13684	17	563	0.127
rs13685	17	564	0.616
rs13686	17	565	0.187
rs13687	17	566	0.175
rs13688	17	567	0.685
rs13689	17	568	0.17
rs13690	17	569	0.042
rs13691	17	570	0.346
rs13692	17	571	0.091
rs13693	17	572	0.219
rs13694	17	573	0.034
rs13695	17	574	0.218
rs13696	17	575	0.166
rs13697	17	576	0.179
rs13698	17	577	0.139
rs13699	17	578	0.038
rs13700	17	579	0.467
rs13701	17	580	0.061
rs13702	17	581	0.39
rs13703	17	582	0.008
rs13704	17	583	1.176
rs13705	18	1	0.007
rs13706	18	2	0.325
rs13707	18	3	0.38
rs13708	18	4	0.916
rs13709	18	5	0.264
rs13710	18	6	0.331
rs13711	18	7	0.808
rs13712	18	8	0.101
rs13713	18	9	1.399
rs13714	18	10	0.12
rs13715	18	11	0.07
rs13716	18	12	0.083
rs13717	18	13	0.188
rs13718	18	14	0.264
rs13719	18	15	0
rs13720	18	16	0.273
rs13721	18	17	0.28
rs13722	18	18	0.876
rs13723	18	19	0.381
rs13724	18	20	0.045
rs13725	18	21	0.103
rs13726	18	22	0.276
rs13727	18	23	1.227
rs13728	18	24	0.051
rs13729	18	25	0.688
rs13730	18	26	0.243
rs13731	18	27	0.065
rs13732	18	28	0.352
rs13733	18	29	0.223
rs13734	18	30	0.066
rs13735	18	31	0.202
rs13736	18	32	0.517
rs13737	18	33	0.263
rs13738	18	34	1.604
rs13739	18	35	0.956
rs13740	18	36	0.384
rs13741	18	37	1.422
rs13742	18	38	0.466
rs13743	18	39	1.319
rs13744	18	40	0.261
rs13745	18	41	0.111
rs13746	18	42	0.176
rs13747	18	43	0.316
rs13748	18	44	0.105
rs13749	18	45	0.319
rs13750	18	46	0.331
rs13751	18	47	0.084
rs13752	18	48	0.33
rs13753	18	49	0.053
rs13754	18	50	0.62
rs13755	18	51	1.065
rs13756	18	52	1.757
rs13757	18	53	0.164
rs13758	18	54	0.152
rs13759	18	55	0.023
rs13760	18	56	0.744
rs13761	18	57	0.02
rs13762	18	58	0.305
rs13763	18	59	0.299
rs13764	18	60	0.023
rs13765	18	61	0.084
rs13766	18	62	0.244
rs13767	18	63	0.114
rs13768	18	64	0.289
rs13769	18	65	0.017
rs13770	18	66	0.046
rs13771	18	67	0.017
rs13772	18	68	0.181
rs13773	18	69	0.774
rs13774	18	70	0.051
rs13775	18	71	0.666
rs13776	18	72	0.033
rs13777	18	73	0.008
rs13778	18	74	0.12
rs13779	18	75	0.172
rs13780	18	76	0.582
rs13781	18	77	0.471
rs13782	18	78	0.162
rs13783	18	79	0.144
rs13784	18	80	0.005
rs13785	18	81	0.441
rs13786	18	82	0.719
rs13787	18	83	0.121
rs13788	18	84	0.405
rs13789	18	85	0.603
rs13790	18	86	0.003
rs13791	18	87	0.141
rs13792	18	88	0.127
rs13793	18	89	0.034
rs13794	18	90	0.088
rs13795	18	91	0.162
rs13796	18	92	0.107
rs13797	18	93	0.232
rs13798	18	94	0.161
rs13799	18	95	1.528
rs13800	18	96	0.317
rs13801	18	97	0.385
rs13802	18	98	0.333
rs13803	18	99	0.289
rs13804	18	100	0.395
rs13805	18	101	0.155
rs13806	18	102	0.301
rs13807	18	103	0.419
rs13808	18	104	0.541
rs13809	18	105	0.326
rs13810	18	106	0.408
rs13811	18	107	0.202
rs13812	18	108	0.657
rs13813	18	109	0.604
rs13814	18	110	0.153
rs13815	18	111	0.245
rs13816	18	112	0.268
rs13817	18	113	0.279
rs13818	18	114	0.076
rs13819	18	115	1.09
rs13820	18	116	0.108
rs13821	18	117	0.515
rs13822	18	118	0.079
rs13823	18	119	0.385
rs13824	18	120	0.349
rs13825	18	121	0.386
rs13826	18	122	0.573
rs13827	18	123	0.974
rs13828	18	124	0.054
rs13829	18	125	0.106
rs13830	18	126	0.267
rs13831	18	127	0.055
rs13832	18	128	0.695
rs13833	18	129	0.362
rs13834	18	130	0.252
rs13835	18	131	0.928
rs13836	18	132	0.135
rs13837	18	133	0.148
rs13838	18	134	0.054
rs13839	18	135	0.151
rs13840	18	136	0.27
rs13841	18	137	0.82
rs13842	18	138	0.325
rs13843	18	139	0.368
rs13844	18	140	0.041
rs13845	18	141	0.2
rs13846	18	142	0.652
rs13847	18	143	0.992
rs13848	18	144	0.269
rs13849	18	145	0.326
rs13850	18	146	0.289
rs13851	18	147	1.336
rs13852	18	148	0.023
rs13853	18	149	0.348
rs13854	18	150	0.308
rs13855	18	151	0.419
rs13856	18	152	0.037
rs13857	18	153	0.279
rs13858	18	154	0.048
rs13859	18	155	0.114
rs13860	18	156	0.451
rs13861	18	157	0.434
rs13862	18	158	0.051
rs13863	18	159	0.014
rs13864	18	160	0.006
rs13865	18	161	0.633
rs13866	18	162	0.179
rs13867	18	163	0.1
rs13868	18	164	0.136
rs13869	18	165	0.246
rs13870	18	166	0.504
rs13871	18	167	0.158
rs13872	18	168	0.169
rs13873	18	169	0.02
rs13874	18	170	0.267
rs13875	18	171	0.835
rs13876	18	172	0.439
rs13877	18	173	0.071
rs13878	18	174	0.08
rs13879	18	175	1.024
rs13880	18	176	0.501
rs13881	18	177	0.18
rs13882	18	178	0.427
rs13883	18	179	1.186
rs13884	18	180	0.91
rs13885	18	181	0.704
rs13886	18	182	1.909
rs13887	18	183	0.586
rs13888	18	184	0.333
rs13889	18	185	1.731
rs13890	18	186	0.204
rs13891	18	187	0.448
rs13892	18	188	0.284
rs13893	18	189	1.055
rs13894	18	190	0.57
rs13895	18	191	4.58
rs13896	18	192	0.568
rs13897	18	193	0.362
rs13898	18	194	0.484
rs13899	18	195	0.126
rs13900	18	196	0.007
rs13901	18	197	0.933
rs13902	18	198	0.1
rs13903	18	199	0.574
rs13904	18	200	0.96
rs13905	18	201	0.245
rs13906	18	202	0.005
rs13907	18	203	0.41
rs13908	18	204	0.005
rs13909	18	205	0.472
rs13910	18	206	0.118
rs13911	18	207	0.049
rs13912	18	208	0.042
rs13913	18	209	0.038
rs13914	18	210	0.312
rs13915	18	211	0.371
rs13916	18	212	0.015
rs13917	18	213	0.14
rs13918	18	214	0.377
rs13919	18	215	0.406
rs13920	18	216	0.119
rs13921	18	217	0.254
rs13922	18	218	0.119
rs13923	18	219	0.581
rs13924	18	220	0.328
rs13925	18	221	0.749
rs13926	18	222	0.057
rs13927	18	223	0.028
rs13928	18	224	0.631
rs13929	18	225	0.049
rs13930	18	226	0.166
rs13931	18	227	0.151
rs13932	18	228	0.189
rs13933	18	229	1.904
rs13934	18	230	0.259
rs13935	18	231	0.543
rs13936	18	232	0.329
rs13937	18	233	0.979
rs13938	18	234	0.117
rs13939	18	235	0.13
rs13940	18	236	0.292
rs13941	18	237	0.143
rs13942	18	238	0.112
rs13943	18	239	0.577
rs13944	18	240	0.422
rs13945	18	241	0.069
rs13946	18	242	0.161
rs13947	18	243	0.092
rs13948	18	244	0.925
rs13949	18	245	0.746
rs13950	18	246	0.171
rs13951	18	247	0.319
rs13952	18	248	0.161
rs13953	18	249	0.322
rs13954	18	250	0.791
rs13955	18	251	0.516
rs13956	18	252	0.466
rs13957	18	253	0.623
rs13958	18	254	0.32
rs13959	18	255	0.184
rs13960	18	256	0.617
rs13961	18	257	0.044
rs13962	18	258	0.994
rs13963	18	259	0.196
rs13964	18	260	0.151
rs13965	18	261	0.089
rs13966	18	262	0.649
rs13967	18	263	0.759
rs13968	18	264	0.167
rs13969	18	265	0.765
rs13970	18	266	1.022
rs13971	18	267	0.18
rs13972	18	268	0.029
rs13973	18	269	0.731
rs13974	18	270	0.432
rs13975	18	271	0.247
rs13976	18	272	0.086
rs13977	18	273	0.837
rs13978	18	274	0.02
rs13979	18	275	0.456
rs13980	18	276	1.42
rs13981	18	277	0.87
rs13982	18	278	0.408
rs13983	18	279	0.368
rs13984	18	280	0.128
rs13985	18	281	0.555
rs13986	18	282	0.693
rs13987	18	283	0.066
rs13988	18	284	0.986
rs13989	18	285	0.182
rs13990	18	286	0.169
rs13991	18	287	0.299
rs13992	18	288	0.048
rs13993	18	289	0.685
rs13994	18	290	1.587
rs13995	18	291	0.163
rs13996	18	292	0.011
rs13997	18	293	0.189
rs13998	18	294	0.433
rs13999	18	295	0.563
rs14000	18	296	0.298
rs14001	18	297	0.035
rs14002	18	298	1.594
rs14003	18	299	0.147
rs14004	18	300	1.091
rs14005	18	301	0.077
rs14006	18	302	0.862
rs14007	18	303	0.554
rs14008	18	304	1.933
rs14009	18	305	0.082
rs14010	18	306	0.268
rs14011	18	307	0.324
rs14012	18	308	0.24
rs14013	18	309	0.398
rs14014	18	310	0.08
rs14015	18	311	0.714
rs14016	18	312	0.01
rs14017	18	313	1.865
rs14018	18	314	0.28
rs14019	18	315	0.744
rs14020	18	316	0.657
rs14021	18	317	0.394
rs14022	18	318	0.021
rs14023	18	319	0.065
rs14024	18	320	0.043
rs14025	18	321	0.203
rs14026	18	322	0.136
rs14027	18	323	0.258
rs14028	18	324	1.187
rs14029	18	325	0.265
rs14030	18	326	1.306
rs14031	18	327	0.217
rs14032	18	328	0.059
rs14033	18	329	0.262
rs14034	18	330	1.389
rs14035	18	331	0.749
rs14036	18	332	0.227
rs14037	18	333	0.042
rs14038	18	334	0.188
rs14039	18	335	0.432
rs14040	18	336	0.01
rs14041	18	337	0.029
rs14042	18	338	0.099
rs14043	18	339	0.992
rs14044	18	340	0.202
rs14045	18	341	0.552
rs14046	18	342	0.036
rs14047	18	343	0.886
rs14048	18	344	0.002
rs14049	18	345	0.302
rs14050	18	346	0.156
rs14051	18	347	0.323
rs14052	18	348	0.477
rs14053	18	349	0.143
rs14054	18	350	0.294
rs14055	18	351	0.14
rs14056	18	352	0.108
rs14057	18	353	0.269
rs14058	18	354	0.427
rs14059	18	355	0.031
rs14060	18	356	1.035
rs14061	18	357	0.127
rs14062	18	358	1.238
rs14063	18	359	0.873
rs14064	18	360	0.522
rs14065	18	361	0.247
rs14066	18	362	0.097
rs14067	18	363	0.092
rs14068	18	364	0.149
rs14069	18	365	0.454
rs14070	18	366	0.071
rs14071	18	367	0.887
rs14072	18	368	0.564
rs14073	18	369	0.04
rs14074	18	370	1.564
rs14075	18	371	0.434
rs14076	18	372	0.037
rs14077	18	373	0.538
rs14078	18	374	0.167
rs14079	18	375	0.345
rs14080	18	376	0.892
rs14081	18	377	0.42
rs14082	18	378	0.104
rs14083	18	379	0.113
rs14084	18	380	0.378
rs14085	18	381	0.172
rs14086	18	382	0.769
rs14087	18	383	0.049
rs14088	18	384	0.707
rs14089	18	385	0.345
rs14090	18	386	0.417
rs14091	18	387	0.256
rs14092	18	388	0.07
rs14093	18	389	0.53
rs14094	18	390	0.002
rs14095	18	391	0.133
rs14096	18	392	0.434
rs14097	18	393	0.913
rs14098	18	394	0.469
rs14099	18	395	0.304
rs14100	18	396	0.214
rs14101	18	397	0.186
rs14102	18	398	0.067
rs14103	18	399	0.117
rs14104	18	400	0.368
rs14105	18	401	0.582
rs14106	18	402	0.058
rs14107	18	403	0.436
rs14108	18	404	2.506
rs14109	18	405	0.512
rs14110	18	406	0.009
rs14111	18	407	0.12
rs14112	18	408	1.48
rs14113	18	409	0.106
rs14114	18	410	0.22
rs14115	18	411	0.437
rs14116	18	412	0.768
rs14117	18	413	0.568
rs14118	18	414	0.332
rs14119	18	415	0.408
rs14120	18	416	0.15
rs14121	18	417	1.291
rs14122	18	418	1.718
rs14123	18	419	1.23
rs14124	18	420	0.218
rs14125	18	421	1.003
rs14126	18	422	0.04
rs14127	18	423	0.065
rs14128	18	424	1.838
rs14129	18	425	0.105
rs14130	18	426	0.201
rs14131	18	427	0.73
rs14132	18	428	0.164
rs14133	18	429	0.129
rs14134	18	430	1.965
rs14135	18	431	0.4
rs14136	18	432	0.642
rs14137	18	433	0.181
rs14138	18	434	0.087
rs14139	18	435	0.052
rs14140	18	436	0.414
rs14141	18	437	0.23
rs14142	18	438	0.002
rs14143	18	439	0.103
rs14144	18	440	0.061
rs14145	18	441	0.106
rs14146	18	442	0.258
rs14147	18	443	0.047
rs14148	18	444	0.88
rs14149	18	445	0.079
rs14150	18	446	0.013
rs14151	18	447	0.069
rs14152	18	448	0.507
rs14153	18	449	0.525
rs14154	18	450	0.454
rs14155	18	451	0.387
rs14156	18	452	0.269
rs14157	18	453	0.12
rs14158	18	454	0.943
rs14159	18	455	0.358
rs14160	18	456	0.167
rs14161	18	457	0.101
rs14162	18	458	0.861
rs14163	18	459	0.389
rs14164	18	460	0.168
rs14165	18	461	0.124
rs14166	18	462	0.098
rs14167	18	463	1.323
rs14168	18	464	0.328
rs14169	18	465	0.468
rs14170	18	466	1.21
rs14171	18	467	0.221
rs14172	18	468	0.539
rs14173	18	469	0.004
rs14174	18	470	0.945
rs14175	18	471	0.546
rs14176	18	472	0.758
rs14177	18	473	0.146
rs14178	18	474	1.181
rs14179	18	475	0.042
rs14180	18	476	0.542
rs14181	18	477	0.652
rs14182	18	478	0.006
rs14183	18	479	1.222
rs14184	18	480	0.263
rs14185	18	481	0.499
rs14186	18	482	0.666
rs14187	18	483	0.15
rs14188	18	484	0.33
rs14189	18	485	0.753
rs14190	18	486	1.223
rs14191	18	487	0.619
rs14192	18	488	0.596
rs14193	18	489	0.118
rs14194	18	490	1.725
rs14195	18	491	0.306
rs14196	18	492	0.674
rs14197	18	493	0.05
rs14198	18	494	0.123
rs14199	18	495	1.482
rs14200	18	496	0.3
rs14201	18	497	0.275
rs14202	18	498	0.729
rs14203	18	499	0.295
rs14204	18	500	0.143
rs14205	18	501	0.115
rs14206	18	502	1.242
rs14207	18	503	0.043
rs14208	18	504	0.127
rs14209	18	505	0.102
rs14210	18	506	0.775
rs14211	18	507	0.55
rs14212	18	508	0.209
rs14213	18	509	0.191
rs14214	18	510	1.831
rs14215	18	511	0.009
rs14216	18	512	0.465
rs14217	18	513	0.494
rs14218	18	514	0.395
rs14219	18	515	0.593
rs14220	18	516	0.177
rs14221	18	517	0.164
rs14222	18	518	0.056
rs14223	18	519	0.003
rs14224	18	520	1.443
rs14225	18	521	1.52
rs14226	18	522	0.257
rs14227	18	523	0.925
rs14228	18	524	0.171
rs14229	18	525	0.448
rs14230	18	526	1.641
rs14231	18	527	0.677
rs14232	18	528	0.412
rs14233	18	529	0.054
rs14234	18	530	0.254
rs14235	18	531	0.462
rs14236	18	532	0.006
rs14237	18	533	0.018
rs14238	18	534	0.645
rs14239	18	535	1.022
rs14240	18	536	0.045
rs14241	18	537	0.324
rs14242	18	538	0.311
rs14243	18	539	0.341
rs14244	18	540	0.358
rs14245	18	541	0.049
rs14246	18	542	0.072
rs14247	18	543	0.755
rs14248	18	544	0.826
rs14249	18	545	0.443
rs14250	18	546	1.143
rs14251	18	547	0.154
rs14252	18	548	0.679
rs14253	18	549	0.509
rs14254	18	550	0.124
rs14255	18	551	0.076
rs14256	18	552	1.024
rs14257	18	553	0.188
rs14258	18	554	0.088
rs14259	18	555	0.156
rs14260	18	556	0.204
rs14261	18	557	0.273
rs14262	18	558	0.028
rs14263	18	559	0.096
rs14264	18	560	0.397
rs14265	18	561	0.011
rs14266	18	562	0.214
rs14267	18	563	0.248
rs14268	18	564	0.195
rs14269	18	565	0.45
rs14270	18	566	0.13
rs14271	18	567	0.297
rs14272	18	568	0.22
rs14273	18	569	0.224
rs14274	18	570	0.43
rs14275	18	571	0.303
rs14276	18	572	0.578
rs14277	19	1	0.013
rs14278	19	2	0.208
rs14279	19	3	0.243
rs14280	19	4	0.101
rs14281	19	5	0.249
rs14282	19	6	0.71
rs14283	19	7	0.01
rs14284	19	8	0.485
rs14285	19	9	0.358
rs14286	19	10	0.302
rs14287	19	11	0.231
rs14288	19	12	0.876
rs14289	19	13	0.075
rs14290	19	14	0.068
rs14291	19	15	0.267
rs14292	19	16	0.958
rs14293	19	17	0.377
rs14294	19	18	1.879
rs14295	19	19	0.483
rs14296	19	20	0.783
rs14297	19	21	0.654
rs14298	19	22	0.17
rs14299	19	23	0.069
rs14300	19	24	0.058
rs14301	19	25	0.899
rs14302	19	26	0.406
rs14303	19	27	0.256
rs14304	19	28	0.169
rs14305	19	29	0.42
rs14306	19	30	0.223
rs14307	19	31	1.116
rs14308	19	32	0.099
rs14309	19	33	0.355
rs14310	19	34	0.458
rs14311	19	35	0.072
rs14312	19	36	0.441
rs14313	19	37	0.183
rs14314	19	38	0.212
rs14315	19	39	0.655
rs14316	19	40	0.123
rs14317	19	41	0.135
rs14318	19	42	0.37
rs14319	19	43	0.182
rs14320	19	44	0.953
rs14321	19	45	0.266
rs14322	19	46	0.494
rs14323	19	47	0.209
rs14324	19	48	0.023
rs14325	19	49	0.53
rs14326	19	50	0.121
rs14327	19	51	0.615
rs14328	19	52	0.552
rs14329	19	53	1.5
rs14330	19	54	0.028
rs14331	19	55	0.669
rs14332	19	56	1.101
rs14333	19	57	0.25
rs14334	19	58	0.313
rs14335	19	59	0.293
rs14336	19	60	0.195
rs14337	19	61	0.176
rs14338	19	62	0.689
rs14339	19	63	1.054
rs14340	19	64	0.613
rs14341	19	65	0.419
rs14342	19	66	0.249
rs14343	19	67	0.293
rs14344	19	68	0.399
rs14345	19	69	0.668
rs14346	19	70	0.227
rs14347	19	71	0.069
rs14348	19	72	0.35
rs14349	19	73	0.986
rs14350	19	74	0.327
rs14351	19	75	0.151
rs14352	19	76	0.075
rs14353	19	77	0.574
rs14354	19	78	0.13
rs14355	19	79	0.236
rs14356	19	80	0.08
rs14357	19	81	0.037
rs14358	19	82	0.234
rs14359	19	83	0.224
rs14360	19	84	0.225
rs14361	19	85	0.291
rs14362	19	86	0.174
rs14363	19	87	0.016
rs14364	19	88	0.913
rs14365	19	89	0.438
rs14366	19	90	0.143
rs14367	19	91	0.436
rs14368	19	92	0.099
rs14369	19	93	0.37
rs14370	19	94	3.061
rs14371	19	95	0.31
rs14372	19	96	0.784
rs14373	19	97	0.131
rs14374	19	98	0.36
rs14375	19	99	0.633
rs14376	19	100	0.001
rs14377	19	101	0.116
rs14378	19	102	0.05
rs14379	19	103	0.537
rs14380	19	104	0.182
rs14381	19	105	1.675
rs14382	19	106	0.25
rs14383	19	107	0.291
rs14384	19	108	0.094
rs14385	19	109	0.508
rs14386	19	110	1.25
rs14387	19	111	0.191
rs14388	19	112	0.06
rs14389	19	113	0.033
rs14390	19	114	1.556
rs14391	19	115	0.778
rs14392	19	116	0.077
rs14393	19	117	1.453
rs14394	19	118	2.174
rs14395	19	119	1.203
rs14396	19	120	0.006
rs14397	19	121	2.498
rs14398	19	122	0.22
rs14399	19	123	1.599
rs14400	19	124	0.094
rs14401	19	125	0.111
rs14402	19	126	0.047
rs14403	19	127	0.113
rs14404	19	128	1.214
rs14405	19	129	0.539
rs14406	19	130	0.71
rs14407	19	131	0.552
rs14408	19	132	0.236
rs14409	19	133	0.43
rs14410	19	134	0.683
rs14411	19	135	0.08
rs14412	19	136	0.835
rs14413	19	137	0.154
rs14414	19	138	1.546
rs14415	19	139	0.205
rs14416	19	140	0.653
rs14417	19	141	0.482
rs14418	19	142	0.463
rs14419	19	143	0.491
rs14420	19	144	0.723
rs14421	19	145	1.118
rs14422	19	146	0.026
rs14423	19	147	3.044
rs14424	19	148	1.002
rs14425	19	149	0.265
rs14426	19	150	0.127
rs14427	19	151	1.342
rs14428	19	152	0.223
rs14429	19	153	0.598
rs14430	19	154	0.413
rs14431	19	155	0.334
rs14432	19	156	0.609
rs14433	19	157	0.178
rs14434	19	158	0.304
rs14435	19	159	0.203
rs14436	19	160	1.226
rs14437	19	161	0.511
rs14438	19	162	0.111
rs14439	19	163	0.577
rs14440	19	164	0.072
rs14441	19	165	0.103
rs14442	19	166	0.8
rs14443	19	167	0.098
rs14444	19	168	0.63
rs14445	19	169	0.764
rs14446	19	170	0.25
rs14447	19	171	0.76
rs14448	19	172	0.028
rs14449	19	173	0.333
rs14450	19	174	0.085
rs14451	19	175	0.027
rs14452	19	176	0.47
rs14453	19	177	0.265
rs14454	19	178	0.247
rs14455	19	179	0.597
rs14456	19	180	0.013
rs14457	19	181	0.883
rs14458	19	182	1.366
rs14459	19	183	0.237
rs14460	19	184	0.068
rs14461	19	185	0.222
rs14462	19	186	0.398
rs14463	19	187	1.689
rs14464	19	188	0.247
rs14465	19	189	0.117
rs14466	19	190	0.647
rs14467	19	191	0.219
rs14468	19	192	1.1
rs14469	19	193	0.085
rs14470	19	194	0.643
rs14471	19	195	0.341
rs14472	19	196	0.369
rs14473	19	197	0.557
rs14474	19	198	0.138
rs14475	19	199	0.26
rs14476	19	200	0.92
rs14477	19	201	0.8
rs14478	19	202	0.244
rs14479	19	203	0.055
rs14480	19	204	0.24
rs14481	19	205	1.033
rs14482	19	206	0.137
rs14483	19	207	0.224
rs14484	19	208	0.502
rs14485	19	209	0.185
rs14486	19	210	1.361
rs14487	19	211	0.444
rs14488	19	212	0.134
rs14489	19	213	0.208
rs14490	19	214	0.168
rs14491	19	215	0.661
rs14492	19	216	0.145
rs14493	19	217	0.022
rs14494	19	218	0.325
rs14495	19	219	0.051
rs14496	19	220	0.581
rs14497	19	221	0.527
rs14498	19	222	0.023
rs14499	19	223	0.047
rs14500	19	224	0.216
rs14501	19	225	0.243
rs14502	19	226	0.498
rs14503	19	227	2.205
rs14504	19	228	0.491
rs14505	19	229	0.115
rs14506	19	230	1.104
rs14507	19	231	0.19
rs14508	19	232	1.077
rs14509	19	233	0.896
rs14510	19	234	0.393
rs14511	19	235	0.388
rs14512	19	236	0.193
rs14513	19	237	0.043
rs14514	19	238	0.148
rs14515	19	239	0.328
rs14516	19	240	0.288
rs14517	19	241	0.113
rs14518	19	242	0.01
rs14519	19	243	0.126
rs14520	19	244	0.891
rs14521	19	245	0.82
rs14522	19	246	0.753
rs14523	19	247	0.194
rs14524	19	248	0.1
rs14525	19	249	0.161
rs14526	19	250	0.383
rs14527	19	251	0.172
rs14528	19	252	0.887
rs14529	19	253	1.107
rs14530	19	254	0.098
rs14531	19	255	0.438
rs14532	19	256	1.311
rs14533	19	257	1.975
rs14534	19	258	0.04
rs14535	19	259	0.14
rs14536	19	260	0.719
rs14537	19	261	0.187
rs14538	19	262	0.277
rs14539	19	263	0.067
rs14540	19	264	0.175
rs14541	19	265	0.294
rs14542	19	266	1.866
rs14543	19	267	0.336
rs14544	19	268	0.011
rs14545	19	269	0.39
rs14546	19	270	0.243
rs14547	19	271	0.818
rs14548	19	272	0.304
rs14549	19	273	0.422
rs14550	19	274	0.317
rs14551	19	275	0.863
rs14552	19	276	0.538
rs14553	19	277	0.002
rs14554	19	278	1.383
rs14555	19	279	0.323
rs14556	19	280	0.315
rs14557	19	281	0.575
rs14558	19	282	0.274
rs14559	19	283	0.287
rs14560	19	284	0.142
rs14561	19	285	0.01
rs14562	19	286	0
rs14563	19	287	0.094
rs14564	19	288	0.551
rs14565	19	289	0
rs14566	19	290	1.316
rs14567	19	291	0.898
rs14568	19	292	0.329
rs14569	19	293	0.196
rs14570	19	294	0.172
rs14571	19	295	0.43
rs14572	19	296	0.147
rs14573	19	297	0.228
rs14574	19	298	0.594
rs14575	19	299	0.154
rs14576	19	300	0.71
rs14577	19	301	0.125
rs14578	19	302	0.112
rs14579	19	303	0.53
rs14580	19	304	0.791
rs14581	19	305	0.584
rs14582	19	306	0.248
rs14583	19	307	0.427
rs14584	19	308	0.114
rs14585	19	309	0.25
rs14586	19	310	0.087
rs14587	19	311	0.383
rs14588	19	312	0.029
rs14589	19	313	0
rs14590	19	314	0.153
rs14591	19	315	0.092
rs14592	19	316	0.413
rs14593	19	317	0.84
rs14594	19	318	0.873
rs14595	19	319	1.675
rs14596	19	320	0.242
rs14597	19	321	0.02
rs14598	19	322	0.298
rs14599	19	323	0.512
rs14600	19	324	0.253
rs14601	19	325	0.022
rs14602	19	326	0.008
rs14603	19	327	0.511
rs14604	19	328	0.794
rs14605	19	329	0.559
rs14606	19	330	0.716
rs14607	19	331	0.275
rs14608	19	332	0.567
rs14609	19	333	0.286
rs14610	19	334	0.798
rs14611	19	335	1.148
rs14612	19	336	0.059
rs14613	19	337	0.239
rs14614	19	338	1.394
